Auction Quarter,Current Auction Settlement Price,Auction Reserve Price
Q4 2014,12.1,11.34
Q1 2015,12.21,12.1
Q2 2015,12.29,12.1
Q3 2015,12.52,12.1
Q4 2015,12.73,12.1
Q1 2016,12.73,12.73
Q2 2016,12.73,12.73
Q3 2016,12.73,12.73
Q4 2016,12.73,12.73
Q1 2017,13.57,13.57
Q2 2017,13.8,13.57
Q3 2017,14.75,13.57
Q4 2017,15.06,13.57
Q1 2018,14.61,14.53
Q2 2018,14.65,14.53
Q3 2018,15.05,14.53
Q4 2018,15.31,14.53
Q1 2019,15.73,15.62
Q2 2019,17.45,15.62
Q3 2019,17.16,15.62
Q4 2019,17,15.62
Q1 2020,17.87,16.68
Q2 2020,16.68,16.68
Q3 2020,16.68,16.68
Q4 2020,16.93,16.68
Q1 2021,17.8,17.71
Q2 2021,18.8,17.71
Q3 2021,23.3,17.71
Q4 2021,28.26,17.71
Q1 2022,29.15,19.7
Q2 2022,30.85,19.7
Q3 2022,27,19.7
Q4 2022,26.8,19.7
