group,capacity,hrate,co2e_mmbtu,nox_mmbtu,so2_mmbtu,pm25_mmbtu,fuel_price
California Coal,3335,8.232827457666666,0.09485235985201249,1.0933790903147841e-4,1.6990019159232037e-5,9.800255119421788e-6,3.9006000724225336
California Gas 1,3021.7,15.963212481792453,0.0530709756732,3.0168740669008685e-4,3.287299551290241e-6,2.2101957610321413e-6,5.3382253330322875
California Gas 2,24237.1,6.693527687972826,0.0530709756732,1.1399120773344236e-4,7.061491883004388e-7,2.40847134564967e-6,5.3382253330322875
California Gas 3,10487.1,10.393237291353909,0.05388855617584701,4.2891628624486564e-4,1.2318568379107719e-5,1.3992313222098434e-5,5.3382253330322875
California Oil,335.9,11.475695066785715,0.07595299189712892,7.365927280292592e-4,6.205034823605279e-5,5.859954128652722e-5,11.466455807415217
Northwest Coal,24286.7,9.927627937481013,0.09635109071656946,9.184734866864845e-5,1.1120025017147114e-4,6.859854828609786e-6,1.9180024190111615
Northwest Gas 1,1326.2,17.31872288852778,0.0530709756732,1.1810788122592571e-4,1.6693188800155792e-6,3.1094524903834313e-6,4.578573354908307
Northwest Gas 2,13751.3,7.151942213278689,0.0530709756732,9.799149062719876e-5,5.66374115441085e-7,2.106186124426938e-6,4.578573354908307
Northwest Gas 3,7086.8,10.23914525437705,0.0530709756732,6.130844419310319e-4,2.5491872554982084e-6,3.08968584661844e-6,4.578573354908307
Northwest Oil,98.4,19.157830408800002,0.0762165939385575,9.416297747893603e-4,1.4384667859226947e-4,7.42841830335627e-5,11.466455807415217
Southwest Coal,6448.7,11.5252244876,0.0973658670920125,7.232778658343736e-5,3.843415403136103e-5,6.785932266735209e-6,2.385188398069263
Southwest Gas 1,15869.1,6.3268806260975605,0.0530709756732,3.3105592775116525e-5,5.200558040631853e-7,2.864139025403489e-6,3.92334142394822
Southwest Gas 2,574,15.172361387470588,0.0530709756732,2.72795309819102e-4,5.949852738725388e-6,2.8672384419964426e-6,3.92334142394822
Southwest Gas 3,9431.8,10.049763723983606,0.0530709756732,1.6785810083213388e-4,5.641049523263772e-7,2.4107740559055967e-6,3.92334142394822
Southwest Oil,175.70000000000002,20.8469178766,0.07432783476855749,2.223445755027844e-4,1.0813622207342007e-4,5.375855754107749e-6,11.466455807415217
