hour,California,Northwest,Southwest
1,27069.402421652423,15716.58547008547,6832.861823361824
2,22315.67786845895,17763.61449831973,5688.49687950072
3,8101.331114808652,19429.574043261233,585.6222961730449
4,38713.3,22953.360714285714,15026.289285714285
5,10849.97432605905,7881.304236200257,1212.3234916559693
6,18802.913436692506,19830.89470284238,3033.297803617571
7,13594.878277153559,16744.127965043695,2887.445692883895
8,18645.902050113895,14960.891571753986,4667.872437357631
9,14937.147952443858,23740.336856010566,983.5455746367239
10,15864.438596491229,14791.948717948719,10297.491228070176
11,8367.100578871201,13040.596960926194,4260.246743849493
12,19796.25445292621,10298.72455470738,5219.869592875318
13,23541.77889447236,19924.701005025127,12164.821608040202
14,32758.80844155844,16468.40422077922,12065.060064935065
15,31501.15263157895,26377.27105263158,12541.767105263158
16,28222.147556390977,22370.0272556391,6277.584586466165
17,22796.697151424287,22576.93853073463,3309.088455772114
18,19739.55978975033,3779.120893561104,6599.84099868594
19,14386.2458781362,11482.374193548387,4085.5548387096774
20,26534.274452554746,8729.683211678832,9200.772262773722
21,22416.11517367459,27262.588665447896,11455.875685557587
22,11408.033274956217,5139.859894921191,7049.024518388792
23,22917.293170731708,13177.860487804877,6031.952195121951
24,15344.099871959026,22336.6914212548,8886.085787451984
